"","X","id","base.id","base.name","base.fiat","base.route","quote.id","quote.name","quote.fiat","quote.route","route","markets.exchange","markets.pair","markets.active","markets.route","bid.price1","bid.size1","ask.price1","ask.size1","bid.price2","bid.size2","ask.price2","ask.size2","bid.price3","bid.size3","ask.price3","ask.size3"
"215",245,"etcusd","etc","Ethereum Classic",FALSE,"https://api.cryptowat.ch/assets/etc","usd","United States dollar",TRUE,"https://api.cryptowat.ch/assets/usd","https://api.cryptowat.ch/pairs/etcusd","poloniex","etcusd",TRUE,"https://api.cryptowat.ch/markets/poloniex/etcusd",0,0,0,0,0,0,0,0,0,0,0,0
"216",246,"eosbtc","eos","EOS",FALSE,"https://api.cryptowat.ch/assets/eos","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/eosbtc","bitfinex","eosbtc",TRUE,"https://api.cryptowat.ch/markets/bitfinex/eosbtc",0.00029315,11.177461,0.000294,209.04976,0.00029314,3,0.00029442,2305.719,0.00029162,28.865225,0.00029452,625.1525
"217",247,"eosbtc","eos","EOS",FALSE,"https://api.cryptowat.ch/assets/eos","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/eosbtc","kraken","eosbtc",TRUE,"https://api.cryptowat.ch/markets/kraken/eosbtc",0.000286,421.734,0.00029,2626.905,0.000285,7281.239,0.000291,356.136,0.000284,35,0.000292,5000
"218",248,"icnbtc","icn","Iconomi",FALSE,"https://api.cryptowat.ch/assets/icn","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/icnbtc","kraken","icnbtc",TRUE,"https://api.cryptowat.ch/markets/kraken/icnbtc",0.000488,407.07,0.00049,26831.596,0.000487,367.875,0.000496,40.872,0.000486,73.995,0.000497,360.384
"219",249,"strbtc","str","Stellar",FALSE,"https://api.cryptowat.ch/assets/str","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/strbtc","kraken","strbtc",TRUE,"https://api.cryptowat.ch/markets/kraken/strbtc",4.29e-06,2239.575,4.38e-06,73499.266,4.28e-06,69065.98,4.4e-06,102722.36,4.27e-06,10000,4.442e-06,643.955
"220",250,"strbtc","str","Stellar",FALSE,"https://api.cryptowat.ch/assets/str","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/strbtc","poloniex","strbtc",TRUE,"https://api.cryptowat.ch/markets/poloniex/strbtc",4.33e-06,55188.766,4.34e-06,446889.5,4.32e-06,119451.09,4.35e-06,78285.2,4.31e-06,959314.7,4.36e-06,64502.742
"221",251,"zecjpy","zec","ZEC",FALSE,"https://api.cryptowat.ch/assets/zec","jpy","Japanese Yen",TRUE,"https://api.cryptowat.ch/assets/jpy","https://api.cryptowat.ch/pairs/zecjpy","kraken","zecjpy",TRUE,"https://api.cryptowat.ch/markets/kraken/zecjpy",0,0,0,0,0,0,0,0,0,0,0,0
"222",252,"btccny-weekly-futures","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","cny","Chinese yuan",TRUE,"https://api.cryptowat.ch/assets/cny","https://api.cryptowat.ch/pairs/btccny-weekly-futures","bitvc","btccny-weekly-futures",TRUE,"https://api.cryptowat.ch/markets/bitvc/btccny-weekly-futures",0,0,0,0,0,0,0,0,0,0,0,0
"223",253,"btcfxjpy","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","jpy","Japanese Yen",TRUE,"https://api.cryptowat.ch/assets/jpy","https://api.cryptowat.ch/pairs/btcfxjpy","bitflyer","btcfxjpy",TRUE,"https://api.cryptowat.ch/markets/bitflyer/btcfxjpy",0,0,0,0,0,0,0,0,0,0,0,0
"224",254,"zecbtc","zec","ZEC",FALSE,"https://api.cryptowat.ch/assets/zec","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/zecbtc","bitfinex","zecbtc",TRUE,"https://api.cryptowat.ch/markets/bitfinex/zecbtc",0.059234,0.25,0.059378,16.446,0.059185,0.07372062,0.05939,0.01391703,0.059056,2.9499831,0.059432,1.3817043
"225",255,"zecbtc","zec","ZEC",FALSE,"https://api.cryptowat.ch/assets/zec","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/zecbtc","kraken","zecbtc",TRUE,"https://api.cryptowat.ch/markets/kraken/zecbtc",0.058966,1.43,0.059738,6.917,0.058965,0.587,0.059997,0.798,0.058964,1.43,0.06,0.19
"226",256,"zecbtc","zec","ZEC",FALSE,"https://api.cryptowat.ch/assets/zec","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/zecbtc","qryptos","zecbtc",TRUE,"https://api.cryptowat.ch/markets/qryptos/zecbtc",0.05845,2,0,0,0,0,0,0,0,0,0,0
"227",257,"zecbtc","zec","ZEC",FALSE,"https://api.cryptowat.ch/assets/zec","btc","Bitcoin",FALSE,"https://api.cryptowat.ch/assets/btc","https://api.cryptowat.ch/pairs/zecbtc","poloniex","zecbtc",TRUE,"https://api.cryptowat.ch/markets/poloniex/zecbtc",0.05914713,0.1650908,0.05916921,0.98194927,0.05914525,0.14893293,0.05916922,1.4245847,0.059143,0.02309285,0.05918971,0.00530965
